"MatchingRule","Record1Identifier","Record2Identifier","TotalSimilarity","IsMatch","[0] SongNameComparatorRemoveBrackets record1Value","[0] SongNameComparatorRemoveBrackets record2Value","[0] SongNameComparatorRemoveBrackets record1PreprocessedValue","[0] SongNameComparatorRemoveBrackets record2PreprocessedValue","[0] SongNameComparatorRemoveBrackets similarity","[0] SongNameComparatorRemoveBrackets postproccesedSimilarity","[1] SongNameComparatorLevenshtein record1Value","[1] SongNameComparatorLevenshtein record2Value","[1] SongNameComparatorLevenshtein record1PreprocessedValue","[1] SongNameComparatorLevenshtein record2PreprocessedValue","[1] SongNameComparatorLevenshtein similarity","[1] SongNameComparatorLevenshtein postproccesedSimilarity","[2] SongArtistsComparatorToken record1Value","[2] SongArtistsComparatorToken record2Value","[2] SongArtistsComparatorToken record1PreprocessedValue","[2] SongArtistsComparatorToken record2PreprocessedValue","[2] SongArtistsComparatorToken similarity","[2] SongArtistsComparatorToken postproccesedSimilarity","[3] SongArtistsComparatorLevenshtein record1Value","[3] SongArtistsComparatorLevenshtein record2Value","[3] SongArtistsComparatorLevenshtein record1PreprocessedValue","[3] SongArtistsComparatorLevenshtein record2PreprocessedValue","[3] SongArtistsComparatorLevenshtein similarity","[3] SongArtistsComparatorLevenshtein postproccesedSimilarity","[4] SongAlbumComparatorMaxSim record1Value","[4] SongAlbumComparatorMaxSim record2Value","[4] SongAlbumComparatorMaxSim record1PreprocessedValue","[4] SongAlbumComparatorMaxSim record2PreprocessedValue","[4] SongAlbumComparatorMaxSim similarity","[4] SongAlbumComparatorMaxSim postproccesedSimilarity","[5] SongAlbumComparatorToken record1Value","[5] SongAlbumComparatorToken record2Value","[5] SongAlbumComparatorToken record1PreprocessedValue","[5] SongAlbumComparatorToken record2PreprocessedValue","[5] SongAlbumComparatorToken similarity","[5] SongAlbumComparatorToken postproccesedSimilarity"
"WekaMatchingRule","dbpedia_1956","musicbrainz_4037","0.0010357087825174428",,"This Is What It Feels Like","The Moon / Awake","This Is What It Feels Like","The Moon / Awake","0.2692307692307693","0.2692307692307693","This Is What It Feels Like","The Moon / Awake","This Is What It Feels Like","The Moon / Awake","0.2692307692307693","0.2692307692307693","jason benoit","the dear hunter","jason benoit","the dear hunter","0.0","0.0","Jason Benoit","The Dear Hunter","Jason Benoit","The Dear Hunter","0.1333333333333333","0.1333333333333333","intense","act v: hymns with the devil in confessional","intense","act v: hymns with the devil in confessional","0.0","0.0","intense","act v: hymns with the devil in confessional","intense","act v: hymns with the devil in confessional","0.0","0.0"
"WekaMatchingRule","dbpedia_4383","musicbrainz_8084","0.06761471599080768","0","Save Today","Same Damn Life","Save Today","Same Damn Life","0.2857142857142857","0.2857142857142857","Save Today","Same Damn Life","Save Today","Same Damn Life","0.2857142857142857","0.2857142857142857","seether","seether","seether","seether","1.0","1.0","Seether","Seether","Seether","Seether","1.0","1.0","isolate and medicate","isolate and medicate","isolate and medicate","isolate and medicate","1.0","1.0","isolate and medicate","isolate and medicate","isolate and medicate","isolate and medicate","1.0","1.0"
"WekaMatchingRule","dbpedia_10881","musicbrainz_12212","4.0517485361487096E-4",,"Hell Naw","Heavydirtysoul","Hell Naw","Heavydirtysoul","0.1428571428571429","0.1428571428571429","Hell Naw","Heavydirtysoul","Hell Naw","Heavydirtysoul","0.1428571428571429","0.1428571428571429","nasty c","twenty one pilots","nasty c","twenty one pilots","0.0","0.0","Nasty C","twenty one pilots","Nasty C","twenty one pilots","0.17647058823529416","0.17647058823529416","bad hair","blurryface","bad hair","blurryface","0.0","0.0","bad hair","blurryface","bad hair","blurryface","0.0","0.0"
"WekaMatchingRule","dbpedia_9437","musicbrainz_8345","0.0018860337181110997",,"The Charade ","The Devil Inside You","The Charade ","The Devil Inside You","0.35","0.35","The Charade (song)","The Devil Inside You","The Charade (song)","The Devil Inside You","0.25","0.25","serj tankian","our last night","serj tankian","our last night","0.0","0.0","Serj Tankian","Our Last Night","Serj Tankian","Our Last Night","0.2142857142857143","0.2142857142857143","elect the dead symphony","we will all evolve","elect the dead symphony","we will all evolve","0.0","0.0","elect the dead symphony","we will all evolve","elect the dead symphony","we will all evolve","0.0","0.0"
"WekaMatchingRule","dbpedia_4892","musicbrainz_12452","7.305515048156064E-4",,"On Melancholy Hill","One Step Closer","On Melancholy Hill","One Step Closer","0.2222222222222222","0.2222222222222222","On Melancholy Hill","One Step Closer","On Melancholy Hill","One Step Closer","0.2222222222222222","0.2222222222222222","gorillaz","linkin park","gorillaz","linkin park","0.0","0.0","Gorillaz","Linkin Park","Gorillaz","Linkin Park","0.18181818181818177","0.18181818181818177","plastic beach","the hunting party,living things +","plastic beach","the hunting party,living things +","0.0","0.0","plastic beach","the hunting party,living things +","plastic beach","the hunting party,living things +","0.0","0.0"
"WekaMatchingRule","dbpedia_10212","musicbrainz_33195","0.002981380191028734",,"Bullet ","Bullet From a Gun","Bullet ","Bullet From a Gun","0.4117647058823529","0.4117647058823529","Bullet (Rokelle song)","Bullet From a Gun","Bullet (Rokelle song)","Bullet From a Gun","0.5238095238095238","0.5238095238095238","rokelle","the script","rokelle","the script","0.0","0.0","Rokelle","The Script","Rokelle","The Script","0.0","0.0",,,,,,,"","science & faith","","science & faith","0.0","0.0"
"WekaMatchingRule","dbpedia_5468","musicbrainz_19156","0.001666684658250524",,"One More Try ","Only A Matter Of Time","One More Try ","Only A Matter Of Time","0.33333333333333337","0.33333333333333337","One More Try (George Michael song)","Only A Matter Of Time","One More Try (George Michael song)","Only A Matter Of Time","0.23529411764705888","0.23529411764705888","george michael","dream theater","george michael","dream theater","0.0","0.0","George Michael","Dream Theater","George Michael","Dream Theater","0.2857142857142857","0.2857142857142857","faith,soul uk,soul uk – the remixes","when dream and day unite","faith,soul uk,soul uk – the remixes","when dream and day unite","0.0","0.0","faith,soul uk,soul uk – the remixes","when dream and day unite","faith,soul uk,soul uk – the remixes","when dream and day unite","0.0","0.0"
"WekaMatchingRule","dbpedia_3939","musicbrainz_20249","0.0014894612586122756",,"When We Stand Together","Where I Live","When We Stand Together","Where I Live","0.31818181818181823","0.31818181818181823","When We Stand Together","Where I Live","When We Stand Together","Where I Live","0.31818181818181823","0.31818181818181823","nickelback","woodkid","nickelback","woodkid","0.0","0.0","Nickelback","Woodkid","Nickelback","Woodkid","0.0","0.0","here and now","the golden age","here and now","the golden age","0.0","0.0","here and now","the golden age","here and now","the golden age","0.0","0.0"
"WekaMatchingRule","dbpedia_4838","musicbrainz_2912","0.001666684658250524",,"Main Rahoon Ya Na Rahoon","Man / Bag of Sand","Main Rahoon Ya Na Rahoon","Man / Bag of Sand","0.33333333333333337","0.33333333333333337","Main Rahoon Ya Na Rahoon","Man / Bag of Sand","Main Rahoon Ya Na Rahoon","Man / Bag of Sand","0.33333333333333337","0.33333333333333337","armaan malik","frightened rabbit","armaan malik","frightened rabbit","0.0","0.0","Armaan Malik","Frightened Rabbit","Armaan Malik","Frightened Rabbit","0.2941176470588235","0.2941176470588235",,,,,,,"","the winter of mixed drinks","","the winter of mixed drinks","0.0","0.0"
"WekaMatchingRule","dbpedia_2111","musicbrainz_23141","0.0011705214527068823",,"There's No Going Back","The Third Hoorah ","There's No Going Back","The Third Hoorah ","0.2857142857142857","0.2857142857142857","There's No Going Back","The Third Hoorah (orchestral version) (2014 stereo mix)","There's No Going Back","The Third Hoorah (orchestral version) (2014 stereo mix)","0.18181818181818177","0.18181818181818177","sick puppies","jethro tull","sick puppies","jethro tull","0.0","0.0","Sick Puppies","Jethro Tull","Sick Puppies","Jethro Tull","0.0","0.0","connect","warchild","connect","warchild","0.0","0.0","connect","warchild","connect","warchild","0.0","0.0"
