"dbpedia_6850","spotify_150","1.0"
"dbpedia_1238","spotify_12843","1.0"
"dbpedia_5160","spotify_7606","1.0"
"dbpedia_7929","spotify_1576","1.0"
"dbpedia_78","spotify_15133","1.0"
"dbpedia_4290","spotify_13008","1.0"
"dbpedia_10889","spotify_17724","1.0"
"dbpedia_3594","spotify_11147","1.0"
"dbpedia_5594","spotify_16799","0.7999999999999999"
"dbpedia_11091","spotify_3447","1.0"
"dbpedia_10701","spotify_11848","0.7"
"dbpedia_8641","spotify_13224","0.7"
"dbpedia_10887","spotify_13044","1.0"
"dbpedia_3519","spotify_12160","1.0"
"dbpedia_3131","spotify_8825","1.0"
"dbpedia_1371","spotify_629","1.0"
"dbpedia_3150","spotify_13069","1.0"
"dbpedia_6448","spotify_14889","0.7"
"dbpedia_5074","spotify_6936","1.0"
"dbpedia_9763","spotify_19908","0.85"
"dbpedia_4826","spotify_3368","1.0"
"dbpedia_2962","spotify_12181","1.0"
"dbpedia_9762","spotify_11158","0.85"
"dbpedia_4621","spotify_13809","1.0"
"dbpedia_926","spotify_10691","0.8999999999999999"
"dbpedia_10373","spotify_18856","1.0"
"dbpedia_9451","spotify_18605","1.0"
"dbpedia_7070","spotify_159","0.85"
"dbpedia_9489","spotify_10849","1.0"
"dbpedia_4963","spotify_12994","1.0"
"dbpedia_1917","spotify_11194","1.0"
"dbpedia_11236","spotify_7750","1.0"
"dbpedia_3615","spotify_10872","1.0"
"dbpedia_8668","spotify_14740","1.0"
"dbpedia_9577","spotify_1335","1.0"
"dbpedia_4500","spotify_20109","0.7999999999999999"
"dbpedia_6918","spotify_13792","1.0"
"dbpedia_3347","spotify_13046","1.0"
"dbpedia_581","spotify_13111","1.0"
"dbpedia_4439","spotify_12822","1.0"
"dbpedia_2605","spotify_15871","1.0"
"dbpedia_5008","spotify_3645","1.0"
"dbpedia_1382","spotify_10978","1.0"
"dbpedia_6735","spotify_13843","1.0"
"dbpedia_9692","spotify_12138","1.0"
"dbpedia_6010","spotify_14958","1.0"
"dbpedia_7569","spotify_10999","1.0"
"dbpedia_8389","spotify_12778","1.0"
